
Learn time
Sample, mean, median, lower, upper
5%, 4207, 4249, 3562, 5100
10%, 5362, 5160, 4471, 7133
15%, 7111, 6833, 5556, 10454
20%, 8337, 7949, 6428, 12177
25%, 12995, 11888, 7952, 22734
30%, 17591, 13930, 9293, 44557
35%, 17740, 15745, 11130, 33465
40%, 20656, 18607, 13919, 41343
45%, 28405, 23883, 15610, 64265
50%, 39231, 24519, 16939, 130054
55%, 34766, 26865, 17388, 114139
60%, 51667, 33797, 21708, 163211
65%, 53893, 39591, 27544, 247276
70%, 38238, 38029, 24111, 62692
75%, 46132, 43272, 27696, 90826
80%, 65742, 52836, 30190, 179284
85%, 58830, 50498, 32872, 144771
90%, 82977, 61291, 36988, 261180
95%, 103002, 79054, 43596, 304193
100%, 104449, 67437, 44685, 546513

AUC ROC
Sample, MLN mean, MLN median, MLN lower, MLN upper, DA-MLN mean, DA-MLN median, DA-MLN lower, DA-MLN upper
5%, 0.6931251875000001, 0.6944325, 0.454543, 0.880465, 0.7838431458333336, 0.8058225, 0.58123, 0.909559
10%, 0.7445570416666666, 0.779069, 0.519529, 0.904587, 0.7892264375, 0.8337604999999999, 0.48578, 0.911602
15%, 0.7759279375000001, 0.8163549999999999, 0.5, 0.912794, 0.8330988125, 0.852857, 0.677098, 0.920751
20%, 0.8082099166666668, 0.834703, 0.550733, 0.929395, 0.8319950625000002, 0.844679, 0.66534, 0.934645
25%, 0.8547846666666664, 0.864833, 0.705803, 0.935683, 0.874874375, 0.8888864999999999, 0.716671, 0.932355
30%, 0.8250241458333331, 0.8369185, 0.649274, 0.936353, 0.8583039791666667, 0.8799555, 0.674506, 0.934513
35%, 0.8603469791666667, 0.8753500000000001, 0.657183, 0.943292, 0.877430458333333, 0.892237, 0.68588, 0.948806
40%, 0.8710145416666665, 0.8905354999999999, 0.685729, 0.939074, 0.8820380624999999, 0.8889914999999999, 0.742564, 0.9393
45%, 0.8510938333333335, 0.8721099999999999, 0.661044, 0.941873, 0.8713772500000001, 0.8858265, 0.672975, 0.933588
50%, 0.8778905416666668, 0.8898785, 0.759418, 0.937873, 0.8843586666666666, 0.8966545, 0.791439, 0.942429
55%, 0.8647956041666665, 0.8854185, 0.708622, 0.940788, 0.8697665, 0.887095, 0.731591, 0.934991
60%, 0.8822448125000003, 0.8998835000000001, 0.747031, 0.942585, 0.8808779999999999, 0.9018685, 0.750786, 0.939686
65%, 0.8842239375, 0.8839915, 0.807333, 0.944546, 0.8844295624999999, 0.8865415, 0.765903, 0.944117
70%, 0.8777525625000001, 0.894894, 0.762446, 0.926857, 0.8817713125000002, 0.8946265, 0.796095, 0.937662
75%, 0.9053568125, 0.9109389999999999, 0.845216, 0.95027, 0.9049223750000001, 0.909605, 0.845308, 0.945162
80%, 0.8710896875, 0.8881995, 0.660752, 0.944125, 0.8692069375000001, 0.8898195, 0.662436, 0.950101
85%, 0.8814522499999999, 0.8926645, 0.754819, 0.941934, 0.880760125, 0.8916415, 0.765403, 0.941289
90%, 0.8925821875000002, 0.903743, 0.807267, 0.944418, 0.89327975, 0.903846, 0.810815, 0.944225
95%, 0.8706207499999999, 0.87696, 0.727562, 0.941956, 0.8709243124999998, 0.876691, 0.730218, 0.941861
100%, 0.8916035625000001, 0.9034314999999999, 0.777824, 0.939473, 0.8916056874999999, 0.9034275, 0.777824, 0.939473

AUC PR
Sample, MLN mean, MLN median, MLN lower, MLN upper, DA-MLN mean, DA-MLN median, DA-MLN lower, DA-MLN upper
5%, 0.15084558333333334, 0.120574, 0.053128, 0.304153, 0.21042785416666668, 0.19313750000000002, 0.063822, 0.432735
10%, 0.19627335416666666, 0.157499, 0.062963, 0.49874, 0.2596978541666667, 0.2580035, 0.060428, 0.518092
15%, 0.23130270833333336, 0.221144, 0.049729, 0.602128, 0.32930843750000005, 0.34469700000000003, 0.113404, 0.556108
20%, 0.30131983333333334, 0.26563349999999997, 0.08175, 0.649134, 0.3562642708333333, 0.370934, 0.104751, 0.583425
25%, 0.3642376666666667, 0.315599, 0.190049, 0.650521, 0.4411312708333334, 0.4575445, 0.160297, 0.645336
30%, 0.34818275000000004, 0.317819, 0.122248, 0.638162, 0.4312159999999998, 0.457652, 0.142088, 0.654168
35%, 0.36146039583333334, 0.3277185, 0.116637, 0.629641, 0.4310456250000001, 0.46880750000000004, 0.164162, 0.662859
40%, 0.4416856458333332, 0.4418525, 0.20393, 0.646752, 0.4727360208333333, 0.4746145, 0.26871, 0.676049
45%, 0.38485224999999995, 0.3860675, 0.127818, 0.625268, 0.44913212500000005, 0.447934, 0.125773, 0.655923
50%, 0.46570249999999996, 0.4886215, 0.181057, 0.661154, 0.49071550000000014, 0.5312760000000001, 0.236967, 0.641579
55%, 0.43220533333333333, 0.450966, 0.196892, 0.658128, 0.4502703541666666, 0.479472, 0.162994, 0.628597
60%, 0.45929862499999996, 0.4885185, 0.197625, 0.700914, 0.47685014583333335, 0.5134529999999999, 0.203503, 0.669397
65%, 0.4640736249999999, 0.45638599999999996, 0.278069, 0.657468, 0.4837096875, 0.5071265, 0.227424, 0.645157
70%, 0.469403125, 0.5055165, 0.293529, 0.618879, 0.4820139375, 0.5266975, 0.304449, 0.618815
75%, 0.4982238749999999, 0.493271, 0.346798, 0.651993, 0.5254998124999999, 0.53084, 0.366299, 0.642145
80%, 0.4554212500000001, 0.478935, 0.161043, 0.681571, 0.465780125, 0.47463500000000003, 0.1628, 0.69542
85%, 0.47121487500000003, 0.4869575, 0.269057, 0.622467, 0.480553625, 0.493034, 0.246954, 0.641931
90%, 0.5230350625000001, 0.510194, 0.302613, 0.684787, 0.5269054375000001, 0.5217609999999999, 0.307495, 0.683218
95%, 0.49364806249999993, 0.5155989999999999, 0.223323, 0.665975, 0.49389987499999993, 0.5172615, 0.225109, 0.662941
100%, 0.5466743125, 0.5891985, 0.351327, 0.689418, 0.5466894375, 0.5891985, 0.351327, 0.689418

